date,code,close,open,high,low,volume,money
1,s0,24.3852,25.0164,25.1378,24.2396,22703792.0,557462400.5958
1,s1,16.1314,16.3256,16.4591,15.9372,8843418.0,142996133.301
1,s2,9.0307,9.2006,9.2006,8.9214,18082433.0,163811973.0618
1,s3,9.1763,9.1521,9.2006,9.0549,17590477.0,160503608.223
1,s4,5.0615,5.1829,5.1829,4.9644,16923843.0,85540120.1172
1,s5,15.4031,16.0222,16.0222,15.2211,9643905.0,148410448.4226
1,s6,3.8842,3.8963,3.9934,3.7749,234385018.0,915414301.326
1,s7,22.7952,23.305,23.305,22.7223,6151970.0,141743747.8128
1,s8,10.1716,9.8803,10.2323,9.7832,26354707.0,264405184.3902
1,s9,2.4276,2.379,2.549,2.3426,175699739.0,426353433.0972
1,s10,12.2351,12.6235,12.6478,12.1259,17676515.0,218248664.8146
1,s11,13.4732,13.9223,13.9223,13.4246,5178189.0,70290909.171
1,s12,6.0811,6.0204,6.1297,5.9233,46656353.0,282212830.8384
1,s13,14.2015,14.335,14.5899,14.1772,16269680.0,233235830.9064
1,s14,7.8411,7.9989,7.9989,7.8047,4112340.0,32273631.096
1,s15,23.3535,24.2639,24.4338,23.3414,4386323.0,104156272.6764
1,s16,9.4555,9.0185,9.5647,9.0185,40802845.0,378860378.9208
1,s17,7.477,7.3192,7.7198,7.2585,60810124.0,457781821.21140003
1,s18,42.1674,40.3588,42.568,39.1815,10467798.0,430202874.7758
1,s19,7.392,7.3799,7.4406,7.2707,24161691.0,177558977.8452
1,s20,7.8897,8.181,8.2538,7.8776,28703450.0,229392794.4504
1,s21,25.5505,25.3806,26.0967,25.0164,13502735.0,344438900.2249
1,s22,18.1827,18.8139,18.8139,17.7336,10269145.0,187066284.8292
1,s23,7.8169,8.0111,8.0111,7.7562,15222035.0,118979544.2094
1,s24,25.1864,24.4338,25.1864,24.0211,8075095.0,198682837.563
1,s25,13.5703,13.1333,13.5824,12.9998,22928184.0,306144251.2254
1,s26,21.3022,20.8652,21.7634,20.6103,178535861.0,3791387930.82
1,s27,17.2602,17.5515,17.6122,17.1753,6560047.0,113716342.3326
1,s28,182.5312,187.1194,189.0129,181.0625,10961945.0,2036974410.618
1,s29,39.5335,39.8855,40.0675,38.7688,25567201.0,1004331426.672
1,s30,25.3684,25.6476,25.7447,25.1014,2943355.0,74586015.7266
1,s31,15.1239,15.5124,15.5124,14.8933,19431076.0,293765731.9002
1,s32,8.1567,8.1325,8.2417,7.9504,8492920.0,68780804.8116
1,s33,11.1548,11.3733,11.4947,11.0456,42498276.0,480113986.0566
1,s34,4.1997,4.1876,4.3818,4.1269,244005308.0,1031851008.5772
1,s35,45.7481,46.2579,46.6706,45.4689,5310336.0,243832667.8326
1,s36,28.4393,29.289,29.289,28.3301,2748104.0,78752249.4948
1,s37,39.3878,39.6548,40.0068,38.8416,5146936.0,202052374.2804
1,s38,4.2362,4.3454,4.3818,4.224,18318316.0,78215047.1046
1,s39,4.1026,4.224,4.224,4.0905,5953405.0,24555445.891200002
1,s40,11.9317,12.053,12.0894,11.6282,3667672.0,43519465.0338
1,s41,5.2193,5.1222,5.2436,5.1101,57343339.0,296761874.6064
1,s42,9.674,9.2249,9.9532,9.2249,47253668.0,457743073.074
1,s43,9.9532,10.026,10.0745,9.9046,12798081.0,127469454.9576
1,s44,35.1274,34.5326,35.6493,33.5616,21388714.0,739616594.619
1,s45,9.6254,10.0017,10.026,9.5283,13362846.0,129978786.1806
1,s46,59.2699,58.3474,59.8282,57.522,8063130.0,474473465.9532
1,s47,24.5188,24.628,24.7979,24.3974,11580236.0,284602074.7584
1,s48,10.2081,11.1548,11.1548,10.2081,7930618.0,83313425.8656
1,s49,23.0743,22.5524,23.4628,22.4067,37077451.0,853832063.6496
1,s50,9.1521,9.3341,9.3341,9.0671,3174927.0,28977825.4458
1,s51,5.2436,5.28,5.3529,5.1829,40707242.0,214675920.984
1,s52,8.2174,8.4116,8.4116,8.1567,14429245.0,118840846.9248
1,s53,8.8001,8.885,8.9093,8.7515,6696751.0,58968707.7924
2,s0,23.5963,24.4217,24.5552,23.5234,20075851.0,480080022.7188
2,s1,15.1482,16.1314,16.2892,15.0026,15589622.0,241168248.16979998
2,s2,8.6908,9.0307,9.0549,8.5573,23670307.0,207343866.1938
2,s3,8.9093,9.1278,9.1642,8.8486,19012441.0,170303593.9458
2,s4,4.928,5.0494,5.098,4.9038,12897354.0,64273519.947000004
2,s5,15.6337,15.4031,15.7794,15.1482,6836024.0,105664177.6302
2,s6,3.9813,3.8842,3.9934,3.6293,270008422.0,1032368456.3724
2,s7,22.9408,22.7952,23.2564,22.7587,5120033.0,118064544.1416
2,s8,10.0138,10.111,10.1595,9.9653,12737896.0,127887672.1752
2,s9,2.3548,2.3912,2.4155,2.2941,101899788.0,239534860.572
2,s10,11.786,12.1623,12.1623,11.701,18188944.0,216101956.3416
2,s11,13.6188,13.461,13.898,13.4246,4776600.0,64855263.942
2,s12,6.3239,6.1054,6.6273,6.0811,89119768.0,565047105.4284
